radical,kanjilist
孟,猛
季,悸
孤,菰
孫,遜
孰,塾熟
孱,潺
宀,寃定它宗宍寂家宴字宛宏貯宕宜宵騫富寅宅完疉宋実宰寄宿謇竚密宝宇寇害苧寔寛塞紵寡寮牢寢寝實寒憲賽搴寓寞寥寤寐寫察寵審寨佇寶寳賓穴寰蹇客宮宣寉安蜜守宸室官宙宥容宦
它,蛇駝柁舵鉈陀鴕佗沱詑
宅,詫侘咤
守,狩
安,案按晏鮟鞍
完,莞浣院皖
宏,浤
宗,綜淙粽棕踪崇
官,綰舘菅棺館管
定,綻碇掟諚淀錠聢
宛,椀鋺蜿碗腕婉豌
宜,萓誼
客,額喀
宣,暄喧萱諠愃
室,腟榁
宰,縡滓
害,割轄豁瞎
家,稼嫁糘
容,穃榕溶蓉熔鎔
宿,縮鏥蓿
寅,演
密,樒
寉,鶴確
寍,寧
察,擦
寧,聹檸獰濘嚀
審,瀋
寫,瀉
寸,專尉廚愽溥吋得村賻樹碍付膊討忖闘鬪辱傅紂耐寺対搏埓寿榑埒封壽肘對専団爵尃導守奪將尊将酎射尋厨尅
寺,畤恃待時侍痔特持詩峙等
寿,鋳畴陦涛祷梼
封,幇
尃,縛博
射,謝麝
将,醤蒋奨
將,蔣鏘奬獎漿
專,磚轉甎蓴傳慱團摶槫
尉,慰蔚熨
尊,蹲遵鱒墫樽噂
尋,蕁潯
小,齋京撩瞭鐐県敝敝繚余穆隙隙鷯遼潦瑣戚叔暸亰原燎尖尓少僚
少,尠沙鈔抄眇秒省劣杪紗雀歩賓炒隲毟妙砂
尓,迩袮弥称珎祢
尚,嘗當敞甞裳掌棠賞淌常党堂黨
尞,寮療
尢,尤
尤,稽就疣犹尨肬
尨,厖
尭,暁焼
就,蹴鷲
尸,尻尼尉尺尾尿屎屍屏局展屁居屑屋屐屆届属屓殿辟犀遅屠屈層屬履刷尹孱
尹,君伊笋
尺,駅択釈尽沢咫昼呎訳鈬
尼,昵眤泥怩
尽,侭
尾,梶
局,跼
居,倨裾踞据鋸
屈,倔窟掘崛堀
屋,握幄渥齷
屎,屡
屏,塀
展,碾輾
属,嘱
屬,矚囑
屮,厥蚩艸逆闕屯朔
屯,瓲鈍純邨沌頓飩
山,嵒巌嶌豈嶄嶐嶋峭嵌峠嶽峯嶝揣嶇嵐峡嵋喘嶺嶷嶂嵩嵜巍妛密嵎乢嶼峪崙巒岻岨岔岩岼崘巓岷仙炭岶嶺屹出峇岳崢岾峅岱岑岌岐巖圸猯崟岡崋屶辿崑瑞惴崇幽幽崖崚崎崗杣岸岫崕崩両崛崔岬湍島嵳疝峺嶬峩峻峨嵬峰嶢嵯峙嶮嵶巉豐豐汕閊峽
岡,綱鋼棡崗剛
島,搗槝
崔,催摧攜
崩,繃
嵒,癌
巛,獵徑經緇輕輜逕鬣鯔痙癰瑙巡莖災碯錙腦剄拶勁惱鑞廱頸臘脛
川,馴州州州荒訓釧侃㐬順卅
州,酬駲洲
巣,剿樔勦
工,筑貢徑扛肛虹經輕逕恐攻左痙巧巫巫矼穩差莖訌剄蛩功空杢式勁隱缸噐杠紅項跫壽江鞏頸汞脛
左,髓膸楕佐隋惰
巨,矩炬秬拒苣鉅渠距
巫,靈誣鵐覡筮嗇
差,蹉瑳磋搓槎嗟嵳嵯縒
己,忌妃包杞起巳巽巽已紀巴巴巻巷記改配
巳,祀熈熙囘煕
巴,葩把耙邑笆巵杷色肥爬琶芭
巵,梔
巷,港
巻,圏捲
巽,饌撰選
巾,帽帳帙帥師帯吊帷席帶幌幅幄幟匝幇幗幃幎幀幔幕幤珮凧幢幣佩幡帆帝飾帋衞帑乕帛市帖刷制帚布
市,閙肺旆鬧柿沛姉
布,怖希
希,晞唏鯑稀欷
帚,箒帰掃歸婦菷
帛,棉綿緜錦
帝,啼蒂啻締楴諦蹄
師,鰤篩獅
席,蓆
帯,滞
帶,滯蔕
常,嫦蟐
幕,冪羃
干,奸罕肝刊午午扞鼾幸杆訐骭軒平平并并幵幵岸年年竿旱汗南
平,鮃坪泙岼苹怦秤評
幵,刑妍枅栞笄研形開
并,垪瓶屏併駢餠餅剏胼絣迸
幸,逹擇睾報倖鐸執驛譯澤繹懌圉釋
幹,澣
幺,後酳奚郷胤樂樂麼斷斷斷斷雍繼繼繼繼關關幾幾幽幽幼幻玄
幼,黝拗窈
幾,饑磯譏機
广,廬廟廐廝廓廚廣廖廢廛廠廡席庇床廊鷹庄廏唐序麻膺府庁底庵廁康廃広店庚応庖廂庶座鹿慶度庫庸薦廉庠廈庭廰廱廳廩廨
広,絋砿鉱昿拡
庄,粧賍
府,椨腑腐俯
度,渡鍍
座,蓙
庶,蹠鷓遮蔗
康,糠鱇慷
庸,傭慵
廉,簾濂
廛,纏躔
廣,曠礦鑛擴壙
廴,廸延廷建廼廻
延,莚涎誕蜑筵蜒
廷,艇挺霆庭梃
建,鍵健腱
廾,彝卉聨算彜莽展弉弊曲弄戒弁昔舁廿冊升卅葬井
廿,槿蹣席帶瑾丗世滿庶燕度覲甘甘満艱瞞革饉
弁,峅弃
弄,哢
弋,貮貮武武戈戈杙弌弌弐弐式式弍弍代鳶
弍,貳貳
式,試拭軾弑
弓,躬彌彊彎彁弾弧弦穹弘弱弱弥張弼弼弯弭強發夷粥粥弸弔弛弩引弗弖疆彈
弔,第弟
引,蚓矧
弗,拂沸怫佛髴彿費狒
弘,泓
弟,梯悌鵜涕剃睇俤
弯,湾
弱,鰯蒻搦嫋鶸溺嵶
張,漲
強,繦襁
彌,瀰
彎,灣
彑,亙彝彖彜碌剝彙互祿
当,档
彔,緑録
彖,篆喙掾蠡縁椽
彗,慧
彡,衫疹摎廖髟彩須戮穆繆鬱寥樛殄蓼軫診鏐趁杉膠影彰彫尨彦彪珍參彭形参修勠袗畛謬
彦,諺顔顏偐
彫,簓
彭,膨澎
彳,徳從徊従徇徒徽役律径徐徑待後復徼征往徴徨徂徃得屐行循彿徹徙徘彷徠很御微彼徭黴
律,葎
従,縦
從,蹤縱樅慫聳
御,禦
復,覆履
微,薇
徴,懲
心,愈懣徳恁恕悶恩恚忌必必懸悲總愬忍愿悳恋恐窓惠慂惡隠惣怠懃憂憖急怱憲志態懇憊憇穩蕊惹惑憑慝応忠懋慇穏戀應慶忿忘怎忽慈怨惷想慰慫慙隱慧慾念憙思怒聰恵愁愛愨意息患悉愍愚恷聽恣悠沁愆芯悪聡感懲聴恙恥
忄,悚悗悃恨愴愡愼愉悖悍悛悔悴恃悼悩恂悵恍悁悌恆恒情愽懐愾愧恊悟悋悄悒悽惆懦恟惇怺憔慎慚忤忸快慍惜怯惚憚憎慨憺懍憶怡怙懆慌忖慟慄憾懊惧惓怫怦懌慊慓憐怪性惟怖慢忱忙忰慷慣懈惨惻惴惶怜怩怕慵慴憮慯惺怛怏怐憧慘慥慱惘惰慳憫憤忻憬惱懶愕懺愀懷恠恢懼愃愎懴悸恪恰恤悧恫懾懽恬悦
必,祕密謐瑟秘蜜泌
忍,綛荵認
志,痣誌
忩,総
念,唸棯捻鯰稔
忽,惚
思,偲顋慮腮鰓
怱,愡偬葱
恣,懿
息,憩憩熄
恵,穂
悉,蟋
惟,罹
惠,穗
惡,鐚
愈,癒
意,臆億憶噫檍
愛,瞹靉曖
感,撼憾轗
慮,濾鑢
憂,優擾
應,軈
